sample_id,pipeline,version,wer,reference_words,hypothesis_words,transcription_file,status
121-121726-0000,brut,original,0.176471,17,19,evaluation_input\final_try\resultats_transcriptions\brut\121-121726-0000_brut_original.txt,ok
121-121726-0000,brut,corrige,0.176471,17,19,evaluation_input\final_try\resultats_transcriptions\brut\121-121726-0000_brut_corrige.txt,ok
121-121726-0000,denoise,original,0.176471,17,19,evaluation_input\final_try\resultats_transcriptions\denoise\121-121726-0000_denoise_original.txt,ok
121-121726-0000,denoise,corrige,0.176471,17,19,evaluation_input\final_try\resultats_transcriptions\denoise\121-121726-0000_denoise_corrige.txt,ok
121-121726-0000,vad,original,0.176471,17,19,evaluation_input\final_try\resultats_transcriptions\vad\121-121726-0000_vad_original.txt,ok
121-121726-0000,vad,corrige,0.176471,17,19,evaluation_input\final_try\resultats_transcriptions\vad\121-121726-0000_vad_corrige.txt,ok
121-121726-0001,brut,original,0.625000,8,10,evaluation_input\final_try\resultats_transcriptions\brut\121-121726-0001_brut_original.txt,ok
121-121726-0001,brut,corrige,0.625000,8,10,evaluation_input\final_try\resultats_transcriptions\brut\121-121726-0001_brut_corrige.txt,ok
121-121726-0001,denoise,original,0.625000,8,10,evaluation_input\final_try\resultats_transcriptions\denoise\121-121726-0001_denoise_original.txt,ok
121-121726-0001,denoise,corrige,0.625000,8,10,evaluation_input\final_try\resultats_transcriptions\denoise\121-121726-0001_denoise_corrige.txt,ok
121-121726-0001,vad,original,0.625000,8,10,evaluation_input\final_try\resultats_transcriptions\vad\121-121726-0001_vad_original.txt,ok
121-121726-0001,vad,corrige,0.625000,8,10,evaluation_input\final_try\resultats_transcriptions\vad\121-121726-0001_vad_corrige.txt,ok
121-121726-0002,brut,original,0.000000,5,5,evaluation_input\final_try\resultats_transcriptions\brut\121-121726-0002_brut_original.txt,ok
121-121726-0002,brut,corrige,0.000000,5,5,evaluation_input\final_try\resultats_transcriptions\brut\121-121726-0002_brut_corrige.txt,ok
121-121726-0002,denoise,original,0.000000,5,5,evaluation_input\final_try\resultats_transcriptions\denoise\121-121726-0002_denoise_original.txt,ok
121-121726-0002,denoise,corrige,0.000000,5,5,evaluation_input\final_try\resultats_transcriptions\denoise\121-121726-0002_denoise_corrige.txt,ok
121-121726-0002,vad,original,0.000000,5,5,evaluation_input\final_try\resultats_transcriptions\vad\121-121726-0002_vad_original.txt,ok
121-121726-0002,vad,corrige,0.000000,5,5,evaluation_input\final_try\resultats_transcriptions\vad\121-121726-0002_vad_corrige.txt,ok
121-121726-0003,brut,original,0.071429,14,14,evaluation_input\final_try\resultats_transcriptions\brut\121-121726-0003_brut_original.txt,ok
121-121726-0003,brut,corrige,0.071429,14,14,evaluation_input\final_try\resultats_transcriptions\brut\121-121726-0003_brut_corrige.txt,ok
121-121726-0003,denoise,original,0.071429,14,14,evaluation_input\final_try\resultats_transcriptions\denoise\121-121726-0003_denoise_original.txt,ok
121-121726-0003,denoise,corrige,0.071429,14,14,evaluation_input\final_try\resultats_transcriptions\denoise\121-121726-0003_denoise_corrige.txt,ok
121-121726-0003,vad,original,0.071429,14,14,evaluation_input\final_try\resultats_transcriptions\vad\121-121726-0003_vad_original.txt,ok
121-121726-0003,vad,corrige,0.071429,14,14,evaluation_input\final_try\resultats_transcriptions\vad\121-121726-0003_vad_corrige.txt,ok
121-121726-0004,brut,original,0.000000,8,8,evaluation_input\final_try\resultats_transcriptions\brut\121-121726-0004_brut_original.txt,ok
121-121726-0004,brut,corrige,0.000000,8,8,evaluation_input\final_try\resultats_transcriptions\brut\121-121726-0004_brut_corrige.txt,ok
121-121726-0004,denoise,original,0.000000,8,8,evaluation_input\final_try\resultats_transcriptions\denoise\121-121726-0004_denoise_original.txt,ok
121-121726-0004,denoise,corrige,0.000000,8,8,evaluation_input\final_try\resultats_transcriptions\denoise\121-121726-0004_denoise_corrige.txt,ok
121-121726-0004,vad,original,0.000000,8,8,evaluation_input\final_try\resultats_transcriptions\vad\121-121726-0004_vad_original.txt,ok
121-121726-0004,vad,corrige,0.000000,8,8,evaluation_input\final_try\resultats_transcriptions\vad\121-121726-0004_vad_corrige.txt,ok
121-121726-0005,brut,original,0.000000,3,3,evaluation_input\final_try\resultats_transcriptions\brut\121-121726-0005_brut_original.txt,ok
121-121726-0005,brut,corrige,0.000000,3,3,evaluation_input\final_try\resultats_transcriptions\brut\121-121726-0005_brut_corrige.txt,ok
121-121726-0005,denoise,original,0.000000,3,3,evaluation_input\final_try\resultats_transcriptions\denoise\121-121726-0005_denoise_original.txt,ok
